F1,F2,F3,F1_s,F2_s,F3_s,error,time,max_formant,n_formant,smooth_method,file_name,id,group,label,F4,F4_s
351.3027127188008,2122.1202963476435,2586.0423726195295,358.0850868733586,2157.676412100119,2573.607327667626,0.004110090803790686,0.13749999999999973,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
350.71489459498446,2121.044701888884,2587.343133279537,356.0099036221502,2162.32865045265,2579.194289054858,0.004110090803790686,0.13949999999999974,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
350.03402862963213,2120.4021655829433,2588.056877887816,353.772375465291,2165.9303199995466,2584.108835725475,0.004110090803790686,0.14149999999999974,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
349.4628986017171,2122.043603799365,2587.4993217146352,351.4522907907186,2168.4134059328303,2588.278064390457,0.004110090803790686,0.14349999999999974,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
349.1176411862264,2127.8447302690083,2584.3166858236636,349.13070300961874,2169.7198562527606,2591.6353923551014,0.004110090803790686,0.1454999999999997,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
348.9548717198931,2136.346314343397,2577.695395803117,346.888314862535,2169.802590202564,2594.12174166175,0.004110090803790686,0.14749999999999971,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
348.88966889017354,2143.998875412653,2568.8381509343862,344.80387636007623,2168.6263949609634,2595.6866437882077,0.004110090803790686,0.14949999999999972,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
348.72921177299025,2147.8427056366836,2561.7359391376194,342.9526262631406,2166.168695118471,2596.289245200961,0.004110090803790686,0.15149999999999972,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
348.3564319346751,2147.4826071803463,2559.3897027064945,341.4048061107992,2162.420180944172,2595.8991953375553,0.004110090803790686,0.15349999999999972,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
347.8897181080907,2144.9892058400424,2560.993626491986,340.2242743746837,2157.385283178807,2594.497400199975,0.004110090803790686,0.15549999999999972,4473.684210526316,4,dct_smooth_regression,josef-fruehwald_speaker,0-0-294-0,group_0,IH0,,
