param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
3,-4.378734942309362,-19.231878709453166,-0.8240642234888758,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
4,-0.6557760027422489,-9.116321136609296,-7.132138709939738,0.00009884750884702461,josef-fruehwald_speaker,0-0-26-1,group_0,ay0,5292.307692307692,1,4,light,1,0.08999999999999986,white,"",L,T,L,T,internal
0,364.60796369708225,1093.99386358901,1739.1994462021346,0.0007329840659273638,josef-fruehwald_speaker,0-0-343-1,group_0,ay0,5117.948717948718,1,4,lights,1,0.09000000000000341,green,when,L,T,L,T,internal
1,47.46083316290032,-156.6271812547153,95.23930239918374,0.0007329840659273638,josef-fruehwald_speaker,0-0-343-1,group_0,ay0,5117.948717948718,1,4,lights,1,0.09000000000000341,green,when,L,T,L,T,internal
2,-20.575575797721807,-2.3525952466166706,-18.02415984630954,0.0007329840659273638,josef-fruehwald_speaker,0-0-343-1,group_0,ay0,5117.948717948718,1,4,lights,1,0.09000000000000341,green,when,L,T,L,T,internal
3,2.9944813456442447,-11.056543184756073,-1.4382470727502896,0.0007329840659273638,josef-fruehwald_speaker,0-0-343-1,group_0,ay0,5117.948717948718,1,4,lights,1,0.09000000000000341,green,when,L,T,L,T,internal
4,1.1031112776448337,-0.586274905691051,-7.830163426965436,0.0007329840659273638,josef-fruehwald_speaker,0-0-343-1,group_0,ay0,5117.948717948718,1,4,lights,1,0.09000000000000341,green,when,L,T,L,T,internal
0,375.63152045646785,1040.0155305138576,1514.9706252191263,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
1,9.684034893410134,-14.531025844172431,-26.938792620568574,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
2,-2.8843399011804913,-1.3275432027741743,-9.923120746368062,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
3,5.493821964146308,-1.9894267386542763,-14.205569011870287,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
4,-1.4219780882277098,-1.1052997806209859,-4.036070996984841,0.00006018232086003586,josef-fruehwald_speaker,0-0-354-1,group_0,ay0,4420.51282051282,1,4,type,1,0.05999999999998806,common,of,T,P,T,P,internal
0,255.7338949908332,1413.6071489583853,1549.8472325498044,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
1,31.342245209771757,-94.45366858974556,-28.326648018786848,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
2,9.79833093644558,8.553099071278819,24.387093129090207,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
3,0.9946975278078888,-1.2099666355452148,-5.162970319524793,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
4,-2.5100843258793706,-17.22966061515583,1.9058866924896114,0.0009650014275563899,josef-fruehwald_speaker,0-0-5-1,group_0,ey,6338.461538461539,1,4,raindrops,1,0.08000000000000007,strikes,in,R,N,R,N,internal
